SI.No.,States/UT/City,Murder - Incidence,Murder - Rate,Attemp to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H.Not Amounting To Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Dacoity of Others - Incidence,Dacoity of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Autot Theft - Incidence,Autot Theft - Rate,Other Theft - Incidence,Other Theft - Rate,Riots - Incidence,Riots - Rate,Crimnal Breach of trust - Incidence,Crimnal Breach of trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty By Husband and Relatives - Incidence,Cruelty By Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
20,Rajasthan,1520,2.9,2024,3.8,51,0.1,1198,2.3,3157,6,2652,5,505,1,109,0.2,25,0,1209,2.3,8971,16.9,17730,33.5,4075,7.7,13655,25.8,16598,31.4,809,1.5,6612,12.5,87,0.2,1230,2.3,14692,27.8,443,0.8,3109,5.9,51,0.1,5425,10.2,0,0,83139,157,168189,317.7
21,Sikkim,15,2.7,4,0.7,0,0,7,1.3,12,2.2,0,0,12,2.2,3,0.5,0,0,10,1.8,73,13.3,68,12.4,NR,NA,NR,NA,153,27.8,7,1.3,16,2.9,0,0,20,3.6,152,27.6,0,0,21,3.8,0,0,0,0,NR,2.4,215,39.1,776,141.1
22,Tamil Nadu,1726,2.8,1992,3.2,25,0,430,0.7,1178,1.9,1000,1.6,178,0.3,171,0.3,38,0.1,615,1,5856,9.5,17872,29.1,6588,10.7,11284,18.4,5428,8.8,498,0.8,2258,3.7,150,0.2,1183,1.9,23349,38,197,0.3,1959,3.2,1776,2.9,620,1,0,0,78388,127.6,145709,237.2
23,Tripura,277,7.5,32,0.9,1,0,72,1.9,219,5.9,27,0.7,192,5.2,65,1.8,0,0,102,2.8,241,6.5,297,8,0,0,297,8,207,5.6,10,0.3,37,1,0,0,143,3.9,473,12.8,17,0.5,71,1.9,0,0,113,3.1,0,0,752,20.3,3129,84.6
24,Uttar Pradesh,7850,4.7,7849,4.7,1354,0.8,1593,1,4158,2.5,2746,1.6,1412,0.8,927,0.6,91,0.1,4197,2.5,10081,6,29348,17.5,5210,3.1,34138,14.4,6792,4.1,3495,2.1,5213,3.1,175,0.1,1171,0.7,14051,8.4,2088,1.2,2481,1.5,2255,1.3,5372,3.2,0,0,63102,37.6,173643,103.6
25,West Bengal,1902,2.4,516,0.7,655,0.8,819,1,945,1.2,804,1,141,0.2,368,0.5,475,0.6,913,1.2,533,0.7,181157,23.2,2533,3.2,15624,19.9,4601,5.9,586,0.7,1145,1.5,47,0.1,102,0.1,4194,5.4,257,0.3,1200,1.5,33,0,3777,4.8,1,0,25299,32.3,66525,84.9
Total States,Total States,36453,3.8,29002,3,3817,0.4,15031,1.5,21797,2.2,14934,1.5,6863,0.7,7007,0.7,1464,0.2,20580,2.1,107375,11.1,245829,25.3,50966,5.3,194795,20.1,80399,8.3,14880,1.5,39319,4.1,1273,0.1,11124,1.1,233379,24.1,6564,0.7,31640,3.3,8673,0.9,43669,4.5,1,0,739261,76.2,1698537,175.1
26,A & N Islands,9,2.4,4,1.1,0,0,6,1.6,4,1.1,2,0.5,2,0.5,2,0.5,0,0,1,0.3,79,20.8,51,13.4,1,0.3,50,13.2,32,8.4,7,1.8,8,2.1,0,0,9,2.4,88,23.2,0,0,13,3.4,2,0.5,8,2.1,0,0,280,73.7,603,158.7
27,Chandigarh,17,2,18,2.1,9,1,16,1.8,48,5.5,36,4.1,12,1.4,1,0.1,1,0.1,6,0.7,234,26.9,1035,119,414,47.6,621,71.4,73,8.4,37,4.3,172,19.8,1,0.1,10,1.1,102,11.7,7,0.8,26,3,18,2.1,42,4.8,0,0,862,99.1,2735,314.4
28,D & N Haveli,16,8.4,2,1.1,0,0,3,1.6,2,1.1,0,0,2,1.1,1,0.5,0,0,8,4.2,42,22.1,64,33.7,12,6.3,52,27.4,37,19.5,3,1.6,3,1.6,0,0,1,0.5,41,21.6,2,1.1,8,4.2,0,0,5,2.6,0,0,175,92.1,413,217.4
29,Daman & DIU,5,3.6,5,3.6,0,0,4,2.9,3,2.1,2,1.4,1,0.7,0,0,0,0,2,1.4,42,30,38,27.1,13,9.3,25,17.9,23,16.4,9,6.4,11,7.9,0,0,2,1.4,24,17.1,0,0,0,0,0,0,5,3.6,0,0,74,52.9,247,176.4
30,Delhi,649,4.8,579,4.3,81,0.6,402,3,1375,10.1,986,7.3,389,2.9,63,0.5,36,0.3,726,5.3,3429,25.2,24423,179.6,8078,59.4,16345,120.2,199,1.5,512,3.8,1869,13.7,69,0.5,57,0.4,2201,16.2,122,0.9,588,4.3,146,1.1,88,0.6,0,0,21087,155.1,58701,431.6
31,Lakshadeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.3,11,15.7,2,2.9,9,12.9,3,4.3,3,4.3,0,0,0,0,1,1.4,2,2.9,0,0,0,0,0,0,0,0,0,0,8,11.4,31,44.3
32,Pondicherry,21,1.9,18,1.7,5,0.5,6,0.5,7,0.6,2,0.2,5,0.5,5,0.5,0,0,9,0.8,92,8.4,456,41.8,199,18.3,257,23.6,72,6.6,3,0.3,21,1.9,4,0.4,14,1.3,476,43.7,4,0.4,36,3.3,19,1.7,6,0.6,0,0,2088,191.6,3362,308.4
Total (UTs),Total (UTs),717,4.4,626,3.8,95,0.6,437,2.7,1439,8.8,1028,6.3,411,2.5,72,0.4,37,0.2,752,4.6,3921,24,26078,159.7,8719,53.4,17359,106.3,439,2.7,574,3.5,2084,12.8,74,0.5,94,0.6,2934,18,135,0.8,671,4.1,185,1.1,154,0.9,0,0,24574,150.5,66092,404.7
Total (All-India),Total (All-India),37170,3.8,29628,3,3912,0.4,15468,1.6,23236,2.4,15962,1.6,7274,0.7,7079,0.7,1501,0.2,21332,2.2,111296,11.3,271907,27.6,59685,6,212154,21.5,80838,8.2,15454,1.6,41403,4.2,1347,0.1,11218,1.1,236313,24,6699,0.7,32311,3.3,8858,0.9,43823,4.4,1,0,763835,77.4,1764629,178.9
33,Ahmedabad,105,2.5,60,1.5,3,0.1,14,0.3,200,4.9,118,2.9,82,2,20,0.5,1,0,224,5.4,812,19.7,3870,93.6,1407,34.2,2463,59.8,200,4.9,184,4.5,287,7,14,0.3,9,0.2,1495,36.3,6,0.1,30,0.7,29,0.7,524,12.7,0,0,7565,183.6,15652,379.9
34,Bangalore,203,3.7,349,6.3,2,0,29,0.5,158,2.9,65,1.2,93,1.7,66,1.2,0,0,451,8.2,2968,53.9,7451,135.2,2584,46.9,4867,88.3,329,6,215,3.9,1351,24.5,25,0.5,7,0.1,3721,67.5,46,0.9,219,4,52,0.9,198,3.6,0,0,10124,183.7,27976,507.6
35,Bhopal,44,2.7,92,5.7,0,0,42,2.6,37,2.3,33,2,4,0.2,1,0.1,0,0,85,5.3,695,43.2,1053,65.4,349,21.7,704,43.7,57,3.5,32,2,142,8.8,16,1,12,0.7,638,39.6,10,0.6,92,5.7,16,1,65,4,0,0,6363,395.2,9492,589.6
36,Calcutta,72,0.6,148,1.2,11,0.1,24,0.2,134,1,93,0.7,41,0.3,24,0.2,72,0.6,157,1.2,131,1,4490,35,1145,8.9,3345,26.1,324,2.5,325,2.5,787,6.1,28,0.2,0,0,1183,9.2,5,0,199,1.6,28,0.2,159,1.2,1,0,3145,24.2,11447,89.3
37,Chennai,93,1.4,333,5.1,1,0,27,0.4,41,0.6,12,0.2,29,0.4,18,0.3,0,0,104,1.6,475,7.2,2227,33.8,261,4,1966,29.8,60,0.9,98,1.5,1067,16.2,47,0.7,0,0,612,9.3,22,0.3,40,0.6,0,0,55,0.8,0,0,1468,22.3,6788,103
38,Coimbatore,22,1.7,28,2.2,0,0,4,0.3,23,1.8,14,1.1,9,0.7,0,0,0,0,17,1.3,174,13.6,909,71,199,15.5,710,55.5,75,5.9,32,2.5,47,3.7,6,0.5,8,0.6,171,13.4,11,0.9,25,2,100,7.8,18,1.4,0,0,2129,166.3,3799,296.8
39,Delhi,514,4.4,509,4.4,61,0.5,332,2.9,1176,10.1,837,7.2,339,2.9,42,0.4,30,0.3,649,5.6,3068,26.4,22517,194.1,7959,68.6,14558,125.5,163,1.4,468,4,1797,15.5,67,0.6,49,0.4,1928,16.6,95,0.8,480,4.1,126,1.1,58,0.5,0,0,18602,160.4,52731,454.6
40,Hyderabad,115,1.7,97,1.4,1,0,48,0.7,96,1.4,43,0.6,53,0.8,3,0,0,0,79,1.2,1225,18.1,2995,44.2,1111,16.4,1884,27.8,148,2.2,141,2.1,1724,25.4,14,0.2,0,0,2995,44.2,19,0.3,86,1.3,10,0.1,808,11.9,0,0,991,14.6,11595,171
41,Indore,95,6.7,83,5.9,2,0.1,29,2.1,35,2.5,29,2.1,6,0.4,0,0,9,0.6,41,2.9,712,50.5,2204,156.3,1055,74.8,1149,81.5,48,3.4,32,2.3,146,10.4,6,0.4,9,0.6,1038,73.6,23,1.6,71,5,9,0.6,128,9.1,0,0,3871,274.5,8591,609.3
42,Jaipur,47,2.2,51,2.4,2,0.1,38,1.8,191,9,154,7.3,37,1.7,8,0.4,0,0,61,2.9,824,38.9,2619,123.5,970,45.8,1649,77.8,1369,64.6,173,8.2,773,36.5,22,1,24,1.1,125,5.9,26,1.2,115,5.4,2,0.1,337,15.9,0,0,5616,264.9,12423,586
43,Kanpur,208,8.6,175,7.2,43,1.8,34,1.4,190,7.8,147,6,43,1.8,24,1,6,0.2,125,5.1,329,13.5,1204,49.5,415,17.1,789,32.5,202,8.3,218,9,316,13,45,1.9,29,1.2,1102,45.3,75,3.1,58,2.4,238,9.8,287,11.8,0,0,1902,78.3,6810,280.2
44,Kochi,22,1.3,30,1.7,3,0.2,9,0.5,9,0.5,4,0.2,5,0.3,5,0.3,0,0,27,1.6,195,11.2,353,20.3,135,7.8,218,12.5,193,11.1,28,1.6,191,11,4,0.2,4,0.2,544,31.3,0,0,44,2.5,4,0.2,57,3.3,0,0,3274,188.2,4996,287.1
45,Lucknow,129,5.1,140,5.5,21,0.8,28,1.1,114,4.5,94,3.7,20,0.8,17,0.7,0,0,127,5,624,24.6,2109,83,517,20.4,1592,62.7,229,9,235,9.3,436,17.2,8,0.3,8,0.3,81,3.2,34,1.3,44,1.7,227,8.9,211,8.3,0,0,2224,87.6,7046,277.4
46,Ludhiana,39,2.4,34,2.1,8,0.5,38,2.3,50,3,35,2.1,15,0.9,6,0.4,12,0.7,4,0.2,127,7.7,339,20.7,235,14.3,104,6.3,0,0,23,1.4,301,18.4,3,0.2,5,0.3,124,7.6,14,0.9,5,0.3,0,0,146,8.9,0,0,602,36.7,1880,114.6
47,Madurai,28,2.2,36,2.9,0,0,6,0.5,21,1.7,15,1.2,6,0.5,7,0.6,0,0,29,2.3,137,10.9,621,49.3,139,11,482,38.3,87,6.9,15,1.2,103,8.2,11,0.9,2,0.2,181,14.4,35,0.4,10,0.8,100,7.9,34,2.7,0,0,2265,179.8,3698,293.5
48,Mumbai,340,1.9,184,1,4,0,141,0.8,189,1.1,30,0.2,159,0.9,74,0.4,81,0.5,549,3.1,2763,15.4,11755,65.6,3021,16.8,8734,48.7,200,1.1,407,2.3,1264,7,66,0.4,1,0,3560,19.9,60,0.3,243,1.4,36,0.2,237,1.3,0,0,7200,40.2,29354,163.7
49,Nagpur,135,6.6,86,4.2,1,0,42,2.1,68,3.3,56,2.7,12,0.6,21,1,63,3.1,200,9.8,1370,67.2,2391,117.2,675,33.1,1716,84.1,135,6.6,84,4.1,248,12.2,17,0.8,24,1.2,1094,53.6,4,0.2,112,5.5,52,2.5,189,9.3,0,0,3173,155.5,9509,466.1
50,Patna,226,17.7,271,21.2,21,1.6,18,1.4,104,8.1,11,0.9,93,7.3,69,5.4,11,0.9,296,23.1,349,27.3,1412,110.3,326,25.5,1086,84.8,135,10.5,129,10.1,82,6.4,4,0.3,12,0.9,176,13.8,39,3,22,1.7,1,0.1,66,5.2,0,0,2188,170.9,5631,439.9
51,Pune,82,2.4,40,1.2,6,0.2,51,1.5,50,1.4,37,1.1,13,0.4,25,0.7,4,0.1,89,2.6,857,24.8,2602,75.2,1266,36.6,1336,38.6,1012,29.2,77,2.2,294,8.5,3,0.1,10,0.3,1143,33,0,0,76,2.2,104,3,89,2.6,0,0,2947,85.2,9561,276.3
52,Surat,106,4.6,21,0.9,3,0.1,17,0.7,70,3,39,1.7,31,1.3,17,0.7,0,0,83,3.6,453,19.5,1576,67.9,775,33.4,801,34.5,81,3.5,75,3.2,143,6.2,2,0.1,12,0.5,500,21.6,28,1.2,20,0.9,4,0.2,121,5.2,0,0,1244,53.6,4576,197.2
53,Vadodra,37,2.3,17,1.1,1,0.1,10,0.6,61,3.8,53,3.3,8,0.5,11,0.7,0,0,92,5.8,426,26.8,1302,81.9,529,33.3,773,48.6,140,8.8,141,8.9,143,9,5,0.3,7,0.4,409,25.7,0,0,30,1.9,14,0.9,162,10.2,0,0,2788,175.3,5796,364.5
54,Varanasi,68,5.3,56,4.4,8,0.6,10,0.8,17,1.3,11,0.9,6,0.5,0,0,0,0,52,4.1,165,12.9,342,26.7,160,12.5,182,14.6,63,4.9,55,4.3,56,4.4,1,0.1,9,0.7,107,8.4,14,1.1,7,0.5,36,2.8,39,3,0,0,270,21.1,1375,107.4
55,Vishakhapatnam,17,1,28,1.7,0,0,17,1,12,0.7,9,0.5,3,0.2,3,0.2,0,0,18,1.1,320,18.9,780,46.2,143,8.5,637,37.7,3,0.2,28,1.7,187,11.1,2,0.1,11,0.7,350,20.7,8,0.5,31,1.8,657,38.9,168,9.9,0,0,1142,67.6,3782,223.8
Total Cities,Total Cities,2747,2.9,2868,3,202,0.2,1008,1.1,3046,3.2,1939,2,1107,1.2,461,0.5,289,0.3,3559,3.7,19199,20.2,77121,81.1,25376,26.7,51745,54.4,5253,5.5,3215,3.4,11885,12.5,416,0.4,252,0.3,23277,24.5,547,0.6,2059,2.2,1845,1.9,4156,4.4,1,0,91093,95.8,254499,267.8
