SI.No.,States/UT/City,Arms Act - 1998,Arms Act - 1999,Arms Act - PVR,N.D.P.S. Act - 1998,N.D.P.S. Act - 1999,N.D.P.S. Act - PVR,Gambling Act - 1998,Gambling Act - 1999,Gambling Act - PVR,Excise Act - 1998,Excise Act - 1999,Excise Act - PVR,Prohibition Act - 1998,Prohibition Act - 1999,Prohibition Act - PVR,Explosives & Expolosive Substances Act - 1998,Explosives & Expolosive Substances Act - 1999,Explosives & Expolosive Substances Act - PVR,Immoral Traffic (prevention ) Act - 1998,Immoral Traffic (prevention ) Act - 1999,Immoral Traffic (prevention ) Act - PVR,Indian Railways Act - 1998,Indian Railways Act - 1999,Indian Railways Act - PVR,Registration of Foreigners Act - 1998,Registration of Foreigners Act - 1999,Registration of Foreigners Act - PVR,Protection of Cvil Rights Act - 1998,Protection of Cvil Rights Act - 1999,Protection of Cvil Rights Act - PVR,Indian Passport Act - 1998,Indian Passport Act - 1999,Indian Passport Act - PVR,Essential Commodities Act - 1998,Essential Commodities Act - 1999,Essential Commodities Act - PVR,Terrorist and Disruptive Activites Act - 1998,Terrorist and Disruptive Activites Act - 1999,Terrorist and Disruptive Activites Act - PVR,Antiquity & Art Treasure Act - 1998,Antiquity & Art Treasure Act - 1999,Antiquity & Art Treasure Act - PVR,Dowry Prohibition Act - 1998,Dowry Prohibition Act - 1999,Dowry Prohibition Act - PVR,Child Marriage Restraint Act - 1998,Child Marriage Restraint Act - 1999,Child Marriage Restraint Act - PVR,Indecent Representation of Women (P) Act - 1998,Indecent Representation of Women (P) Act - 1999,Indecent Representation of Women (P) Act - PVR,Copy Right Act - 1998,Copy Right Act - 1999,Copy Right Act - PVR,Sati Prevention Act - 1998,Sati Prevention Act - 1999,Sati Prevention Act - PVR,SC/St Prevention of Atrocities Act - 1998,SC/St Prevention of Atrocities Act - 1999,SC/St Prevention of Atrocities Act - PVR,Forest Act - 1998,Forest Act - 1999,Forest Act - PVR,Other SLL Crimes - 1998,Other SLL Crimes - 1999,Other SLL Crimes - PVR,Total Cognizable Crimes Under SLL - 1998,Total Cognizable Crimes Under SLL - 1999,Total Cognizable Crimes Under SLL - PVR
27,Chandigarh,18,9,-50,21,19,-9.5,26,66,153.8,145,324,123.4,0,0,NA,2,8,300,5,7,40,0,0,NA,3,4,33.3,0,0,NA,0,0,NA,4,4,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,5,2,-60,0,0,NA,0,0,NA,0,0,NA,50,63,26,279,506,81.4
28,D & N Haveli,5,2,-60,0,0,NA,0,0,NA,2,2,0,0,0,NA,1,0,-100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,-100,0,0,NA,3,12,300,12,16,33.3
29,Daman & DIU,1,0,-100,0,1,NA,5,1,-80,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,2,0,9,5,-44.4
30,Delhi,2083,2628,26.2,655,676,3.2,1064,865,-18.7,3972,6013,51.4,0,0,NA,16,27,68.8,75,78,4,113,44,-61.1,29,17,-41.4,5,6,20,22,39,77.3,52,34,-34.6,0,0,NA,0,1,NA,10,8,-20,0,0,NA,1,10,900,122,138,13.1,0,0,NA,8,14,75,0,0,NA,666,775,10.4,8893,11373,27.9
31,Lakshadeep,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,1,-50,2,3,50
32,Pondicherry,4,5,25,0,3,NA,8,8,0,0,18,NA,0,0,NA,4,0,-100,29,50,72.4,0,0,NA,1,1,0,12,10,-16.7,0,0,NA,18,15,-16.7,0,0,NA,0,0,NA,4,6,50,0,0,NA,0,0,NA,5,5,0,0,0,NA,0,2,NA,1,6,500,2737,2320,-15.2,2823,2449,-13.2
Total (UTs),Total (UTs),2111,2644,25.2,677,704,4,1108,956,-13.7,5972,8658,45,85,114,34.1,24,37,54.2,109,140,28.4,113,44,-61.1,34,23,-32.4,17,16,-5.9,22,39,77.3,74,53,-28.4,0,0,NA,0,1,NA,14,14,0,2,1,-50,1,10,900,132,145,9.8,0,0,NA,9,16,77.8,1,6,500,3846,3537,-8,14351,17158,19.6
Total (All-India),Total (All-India),63566,60607,-4.7,18270,20132,10.2,112303,116516,3.8,113102,106662,-5.7,540160,547386,1.3,4923,4399,-10.6,8695,9363,7.7,40111,36099,-10,1230,1587,29,1219,996,-18.3,396,472,19.2,5675,5639,-0.6,0,0,NA,38,16,-57.9,3578,3064,-14.4,56,58,3.6,190,222,16.8,1444,1980,37.1,0,0,NA,14622,14595,-0.2,4927,5139,4.3,3468783,2212169,-36.2,4403288,3147101,-28.5
33,Ahmedabad,45,26,-42.2,31,27,-12.9,1127,1350,19.8,0,0,NA,6761,6801,0.6,1,11,1000,5,7,40,0,0,NA,0,0,NA,10,11,10,0,0,NA,13,27,107.7,0,0,NA,0,0,NA,0,0,NA,0,2,NA,0,0,NA,11,28,154.5,0,0,NA,11,20,81.8,0,0,NA,4499,5034,11.9,12514,13344,6.6
34,Bangalore,20,13,-35,21,38,81,202,132,-34.7,662,616,-6.9,0,8,NA,5,3,-40,478,292,-38.9,0,0,NA,22,23,4.5,6,1,-83.3,10,40,300,42,80,90.5,0,0,NA,0,1,NA,237,266,12.2,0,0,NA,0,0,NA,36,24,-33.3,0,0,NA,91,84,-7.7,106,69,-34.9,800256,814,-99.9,802194,2504,-99.7
35,Bhopal,341,288,-15.5,21,30,42.9,722,714,-1.1,208,149,-28.4,0,0,NA,9,8,-11.1,5,0,-100,0,0,NA,3,1,-66.7,0,0,NA,0,0,NA,7,8,14.3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,3,23,666.7,0,0,NA,19,21,10.5,0,1,NA,8,4,-50,1346,1247,-7.4
36,Calcutta,210,184,-12.4,136,161,18.4,482,438,-9.1,1732,1638,-5.4,0,0,NA,41,43,4.9,42,38,-9.5,16,26,62.5,0,0,NA,0,0,NA,0,0,NA,96,63,-34.3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,35,51,45.7,0,0,NA,0,0,NA,0,0,NA,753454,841166,11.6,756244,843808,11.6
37,Chennai,4,3,-25,214,124,-42.1,3422,2616,-23.6,0,0,NA,4963,895,-82,6,3,-50,2941,3349,13.9,0,0,NA,0,0,NA,1,1,0,2,0,-100,0,0,NA,0,0,NA,0,0,NA,52,55,5.8,0,0,NA,0,0,NA,2,4,100,0,0,NA,4,2,-50,0,0,NA,61779,52389,-15.2,73390,59441,-19
38,Coimbatore,12,2,-83.3,134,144,7.5,162,142,-12.3,0,0,NA,402,375,-6.7,36,3,-91.7,165,223,35.2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,4,100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,-100,1,4,300,0,0,NA,5,7,40,30,32,6.7,3134,3503,11.8,4084,4439,8.7
39,Delhi,1965,2476,26,644,660,2.5,1046,850,-18.7,3566,5346,49.9,0,0,NA,16,24,50,73,76,4.1,113,44,-61.1,27,15,-44.4,4,6,50,22,39,77.3,46,33,-28.3,0,0,NA,0,1,NA,9,8,-11.1,0,0,NA,1,10,900,114,136,19.3,0,0,NA,8,12,50,0,0,NA,641,761,18.7,8295,10497,26.5
40,Hyderabad,113,90,-20.4,32,26,-18.8,113,10,-91.2,57,32,-43.9,922,680,-26.2,6,3,-50,33,9,-72.7,0,0,NA,0,0,NA,7,0,-100,0,40,NA,0,0,NA,0,0,NA,0,0,NA,4,2,-50,0,0,NA,0,0,NA,11,24,118.2,0,0,NA,26,26,0,0,0,NA,49578,54365,9.7,50902,55307,8.7
41,Indore,1263,1322,4.7,8,26,225,702,858,22.2,981,1258,28.2,0,0,NA,14,19,35.7,1,5,400,0,0,NA,2,0,-100,0,0,NA,0,0,NA,2,5,150,0,0,NA,0,0,NA,0,2,NA,0,0,NA,0,0,NA,9,11,22.2,0,0,NA,0,4,NA,0,0,NA,66,114,72.7,3048,3624,18.9
42,Jaipur,113,146,29.2,21,62,195.2,263,258,-1.9,274,553,101.8,0,0,NA,1,5,400,19,24,26.3,0,0,NA,0,1,NA,0,0,NA,0,0,NA,18,20,11.1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,35,34,-2.9,0,0,NA,96,77,-19.8,16,10,-37.5,265,296,11.7,1121,1486,32.6
43,Kanpur,1654,1669,0.9,905,983,8.6,248,298,20.2,720,808,12.2,0,0,NA,97,107,10.3,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,2,NA,40,26,-35,0,0,NA,0,1,NA,36,21,-41.7,0,0,NA,0,0,NA,13,14,7.7,0,0,NA,105,77,-26.7,24,54,125,27210,24962,-8.3,31053,29023,-6.5
44,Kochi,9,7,-22.2,40,45,12.5,27,26,-3.7,0,0,NA,59,90,52.5,8,1,-87.5,5,5,0,0,0,NA,0,1,NA,0,1,NA,0,0,NA,3,1,-66.7,0,0,NA,0,0,NA,1,0,-100,0,0,NA,1,0,-100,7,1,-85.7,0,0,NA,13,10,-23.1,0,0,NA,567,1038,83.1,740,1226,65.7
45,Lucknow,1479,772,-47.8,374,263,-29.7,108,149,38,400,307,-23.2,0,0,NA,65,18,-72.3,3,6,100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,23,10,-56.7,0,0,NA,0,0,NA,3,0,-100,0,0,NA,0,0,NA,2,0,-100,0,0,NA,115,52,-54.8,12,24,100,16791,13646,-18.7,19375,15247,-21.3
46,Ludhiana,120,167,39.2,85,78,-8.2,81,134,65.4,191,288,50.8,0,0,NA,2,0,-100,1,4,300,0,0,NA,0,0,NA,0,1,NA,0,0,NA,13,18,38.5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,-100,10,15,50,0,0,NA,0,0,NA,0,1,NA,17,58,241.2,521,764,46.6
47,Madurai,3,9,200,153,171,11.8,352,397,12.8,0,1,NA,2395,3284,37.1,0,2,NA,166,208,25.3,0,0,NA,0,1,NA,5,12,140,4,1,-75,0,2,NA,0,0,NA,0,0,NA,4,0,-100,0,0,NA,0,0,NA,0,3,NA,0,0,NA,2,0,-100,0,0,NA,93130,44871,-51.8,96214,48962,-49.1
48,Mumbai,345,345,0,436,278,-36.2,1928,2155,11.8,0,0,NA,2693,2443,-9.3,2,1,-50,401,362,-9.7,0,0,NA,34,3,-91.2,6,3,-50,2,11,450,25,48,92,0,0,NA,0,0,NA,0,0,NA,0,0,NA,33,144,336.4,169,208,23.1,0,0,NA,1,2,100,0,0,NA,190974,222344,16.4,197049,228347,15.9
49,Nagpur,299,264,-11.7,53,41,-22.6,558,510,-8.6,0,0,NA,1421,1959,37.9,0,2,NA,7,3,-57.1,0,0,NA,0,0,NA,1,1,0,0,0,NA,19,20,5.3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,32,18,-43.8,0,0,NA,8,5,-37.5,0,0,NA,697,717,2.9,3095,3540,14.4
50,Patna,281,221,-21.4,1,2,100,41,23,-43.9,97,105,8.2,8,0,-100,26,18,-30.8,3,2,-33.3,0,0,NA,1,4,300,0,0,NA,0,0,NA,11,16,45.5,0,0,NA,0,0,NA,33,38,15.2,0,0,NA,0,0,NA,0,3,NA,0,0,NA,9,11,22.2,0,0,NA,66,58,-12.1,577,501,-13.2
51,Pune,17,23,35.3,13,10,-23.1,229,187,-18.3,0,0,NA,6011,6494,8,0,0,NA,7,3,-57.1,0,1,NA,95,69,-27.4,0,0,NA,0,0,NA,3,3,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,29,52,79.3,0,0,NA,3,2,-33.3,0,0,NA,3869,3834,-0.9,10276,10678,3.9
52,Surat,30,29,-3.3,8,12,50,359,483,34.5,0,0,NA,7976,11074,38.8,0,0,NA,1,29,2800,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,NA,1,0,-100,22,41,86.4,0,0,NA,23,6,-73.9,0,0,NA,4013,5632,40.3,12433,17308,39.2
53,Vadodra,7,13,85.7,11,4,-63.6,322,237,-26.4,0,0,NA,4852,5350,10.3,3,2,-33.3,0,1,NA,2,0,-100,0,0,NA,0,0,NA,0,0,NA,1,6,500,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,9,10,11.1,0,0,NA,12,14,16.7,0,0,NA,1643,1367,-16.8,6862,7004,2.1
54,Varanasi,486,310,-36.2,356,305,-14.3,62,36,-41.9,138,242,75.4,0,0,NA,43,22,-48.8,0,4,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,10,35,250,0,0,NA,0,0,NA,0,14,NA,0,0,NA,0,0,NA,2,6,200,0,0,NA,52,27,-48.1,12,12,0,10037,6422,-36,11198,7435,-33.6
55,Vishakhapatnam,1,1,0,0,4,NA,464,673,45,24,50,108.3,86,35,-59.3,0,0,NA,21,32,52.4,0,0,NA,0,0,NA,1,32,3100,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,9,NA,0,0,NA,0,0,NA,6,1,-83.3,0,0,NA,4,3,-25,0,1,NA,30055,72026,139.6,30662,72867,137.6
Total Cities,Total Cities,8817,8380,-5,3697,3494,-5.5,13020,12676,-2.6,9050,11393,25.9,38549,39488,2.4,381,295,-22.6,4378,4683,7,131,71,-45.8,184,119,-35.3,41,69,68.3,40,133,232.5,374,425,13.6,0,0,NA,0,3,NA,379,415,9.5,0,3,NA,38,154,305.3,558,711,27.4,0,0,NA,607,462,-23.9,200,204,2,2052749,1355421,-34,2133193,1438599,-32.6
