SI.No.,States/UT,Disposal of Cases under - Murder - CF,Disposal of Cases under - Murder - TR,Disposal of Cases under - Murder - TL,Disposal of Cases under - Attempt To Commit Murder - CF,Disposal of Cases under - Attempt To Commit Murder - TR,Disposal of Cases under - Attempt To Commit Murder - TL,Disposal of Cases under - C.H. Not Amounting to Murder - CF,Disposal of Cases under - C.H. Not Amounting to Murder - TR,Disposal of Cases under - C.H. Not Amounting to Murder - TL,Disposal of Cases under - Rape - CF,Disposal of Cases under - Rape - TR,Disposal of Cases under - Rape - TL,Disposal of Cases under - Kidnapping & Abuduction - CF,Disposal of Cases under - Kidnapping & Abuduction - TR,Disposal of Cases under - Kidnapping & Abuduction - TL,Disposal of Cases under - Women & Girls - CF,Disposal of Cases under - Women & Girls - TR,Disposal of Cases under - Women & Girls - TL,Disposal of Cases under - Others - CF,Disposal of Cases under - Others - TR,Disposal of Cases under - Others - TL,Disposal of Cases Under - Dacoiy - CF,Disposal of Cases Under - Dacoiy - TR,Disposal of Cases Under - Dacoiy - TL,Disposal of Cases under - Preparation & Assembly for Dacoity - CF,Disposal of Cases under - Preparation & Assembly for Dacoity - TR,Disposal of Cases under - Preparation & Assembly for Dacoity - TL,Disposal of Cases under - Robbery - CF,Disposal of Cases under - Robbery - TR,Disposal of Cases under - Robbery - TL,Disposal of Cases under - Riot - CF,Disposal of Cases under - Riot - TR,Disposal of Cases under - Riot - TL,Disposal of Cases under - Arson - CF,Disposal of Cases under - Arson - TR,Disposal of Cases under - Arson - TL,Disposal of Cases under - Dowry Death - CF,Disposal of Cases under - Dowry Death - TR,Disposal of Cases under - Dowry Death - TL,Disposal of Cases under - Total - CF,Disposal of Cases under - Total - TR,Disposal of Cases under - Total - TL
13,Maharashtra,12,1420,1432,7,641,648,2,37,38,5,648,653,5,350,355,4,266,270,1,84,85,3,204,207,4,65,69,7,858,865,149,2849,2998,0,621,621,0,320,320,193,8013,8206
14,Manipur,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
15,Meghalaya,0,25,25,0,24,24,0,2,2,0,27,27,0,16,16,0,13,13,0,3,3,0,28,28,0,0,0,0,36,36,0,5,5,0,2,2,0,0,0,0,165,165
16,Mizoram,4,6,10,2,2,4,0,0,0,5,6,11,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,2,2,4,0,0,0,2,6,8,0,0,0,16,23,39
17,Nagaland,10,4,14,3,7,10,0,1,1,2,2,4,2,5,7,1,3,4,1,2,3,1,9,10,0,0,0,2,24,26,0,3,3,0,0,0,0,0,0,20,55,75
18,Orissa,0,585,585,0,801,801,0,84,84,0,397,397,0,295,295,0,264,264,0,31,31,0,163,163,0,9,9,0,473,473,0,1072,1072,0,360,360,0,142,142,0,4381,4381
19,Punjab,0,599,599,2,410,412,0,82,82,1,222,223,0,81,81,0,61,61,0,20,20,0,11,11,0,18,18,1,50,51,0,3,3,0,23,23,0,142,142,4,1641,1645
20,Rajasthan,1,979,980,5,1426,1431,0,59,59,1,714,715,8,819,827,5,658,663,3,161,164,0,64,64,0,6,6,0,698,698,140,14382,14522,5,474,479,1,223,224,161,19844,20005
21,Sikkim,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,83,1600,1683,29,1598,1627,1,16,17,13,218,231,21,375,396,18,329,347,3,46,49,21,93,114,0,0,0,35,370,405,803,5427,6230,24,492,516,2,72,74,1032,10261,11293
23,Tripura,0,125,125,0,30,30,0,0,0,0,8,8,0,94,94,0,24,24,0,70,70,0,32,32,0,0,0,0,42,42,0,283,283,0,27,27,0,8,8,0,649,649
24,Uttar Pradesh,14,5185,5199,20,5183,5203,5,1079,1084,8,1185,1193,45,2117,2162,44,1419,1463,1,698,699,0,618,618,0,207,207,19,2030,2049,74,3821,3895,5,596,601,4,1018,1022,194,23039,23233
25,West Bengal,4,417,421,0,324,324,2,270,272,7,363,370,2,230,232,1,182,183,1,48,49,0,108,108,0,89,89,0,194,194,6,1605,1611,0,48,48,0,89,89,21,3737,3758
Total States,Total States,241,22406,22647,93,19754,19847,45,2465,2510,67,10173,10240,113,8669,8782,95,6149,6244,18,2520,2538,52,3892,3944,5,828,833,89,9017,9106,1495,53733,55228,42,5297,5339,11,3700,3711,2253,139934,142187
26,A & N Islands,0,13,13,0,6,6,0,0,0,0,1,1,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,0,22,22,0,1,1,0,0,0,0,50,50
27,Chandigarh,0,10,10,0,11,11,0,4,4,0,7,7,0,11,11,0,7,7,0,4,4,0,0,0,0,0,0,0,0,0,0,30,30,0,2,2,0,2,2,0,77,77
28,D & N Haveli,0,11,11,0,6,6,0,1,1,0,5,5,0,5,5,0,4,4,0,1,1,0,1,1,0,0,0,0,4,4,0,34,34,0,0,0,0,0,0,0,67,67
29,Daman & DIU,0,3,3,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,8,8,0,0,0,0,0,0,0,15,15
30,Delhi,297,445,742,242,475,717,142,247,389,245,258,503,829,975,1804,528,536,1064,301,439,740,28,85,113,46,80,126,579,901,1480,34,115,149,18,9,27,149,123,272,2609,3713,6322
31,Lakshadeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2
32,Pondicherry,0,7,7,0,19,19,0,1,1,0,2,2,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,9,9,0,92,92,0,4,4,0,1,1,NA,138,138
Total (UTs),Total (UTs),297,489,786,242,518,760,142,253,395,245,273,518,829,1000,1829,528,554,1082,301,446,747,28,87,115,46,80,126,579,917,1496,34,301,335,18,18,36,149,126,275,2609,4062,6671
Total (All-India),Total (All-India),538,22895,23433,335,20272,20607,187,2718,2905,312,10446,10758,942,9669,10611,623,6703,7326,319,2966,3285,80,3979,4059,51,908,959,668,9934,10602,1529,54034,55563,60,5315,5375,160,3826,3986,4862,143996,148858
