SI.No.,States/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,1,0,0,2,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,1,15
16,Mizoram,0,0,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,2,11
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,15,2,0,2,0,0,0,0,0,0,37,81,1,80,1,0,2,0,0,0,0,3,0,3,0,49,195
19,Punjab,1,2,1,1,2,1,1,0,0,0,2,4,0,4,0,0,1,0,0,1,1,0,0,0,0,4,20
20,Rajasthan,17,13,0,8,3,2,1,0,0,7,97,103,9,94,107,2,0,6,3,66,10,7,0,30,0,195,674
21,Sikkim,0,0,0,0,0,0,0,0,0,0,1,4,NR,NR,0,0,0,0,0,1,0,0,0,0,NR,0,6
22,Tamil Nadu,2,0,4,1,0,0,0,0,0,2,84,199,20,179,20,0,0,0,0,31,1,1,1,0,0,57,403
23,Tripura,2,0,0,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17
24,Uttar Pradesh,1,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,0,0,0,1,2,1,0,2,0,0,14
25,West Bengal,0,0,0,1,6,6,0,0,0,1,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15
Total States,Total States,241,168,20,148,74,60,14,25,2,63,1302,2044,129,1911,508,12,26,7,40,1452,51,108,26,267,0,1990,8574
26,A & N Islands,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,2,7,2,5,0,0,0,0,0,1,0,1,0,0,0,5,16
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,9,11,1,10,9,6,3,0,0,4,37,118,27,91,1,1,5,0,0,19,1,7,1,6,0,48,288
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Pondicherry,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,6
Total (UTs),Total (UTs),9,11,1,11,9,6,3,0,0,5,42,128,29,99,1,1,5,0,0,20,1,8,1,6,0,55,314
Total (All-India),Total (All-India),250,179,21,159,83,66,17,25,2,68,1344,2172,158,2010,509,13,31,7,40,1472,52,116,27,273,0,2045,8888
33,Ahmedabad,4,1,0,0,15,15,0,0,0,0,22,55,11,44,11,0,0,0,0,18,0,1,0,9,0,54,190
34,Bangalore,2,0,0,0,0,0,0,0,0,1,21,35,1,34,0,0,0,0,0,4,0,0,0,0,0,3,66
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
36,Calcutta,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
37,Chennai,0,0,0,0,0,0,0,0,0,0,6,18,0,18,0,0,0,0,0,0,0,0,0,0,0,7,31
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9
39,Delhi,9,11,1,10,9,6,3,0,0,4,37,118,27,91,1,1,5,0,0,19,1,7,1,6,0,48,288
40,Hyderabad,4,0,0,2,0,0,0,0,0,1,36,57,0,57,0,0,0,0,0,6,0,0,0,0,0,0,106
41,Indore,10,6,0,8,0,0,0,0,0,0,10,24,2,22,0,1,0,0,0,33,0,3,1,0,0,83,179
42,Jaipur,1,0,0,1,0,0,0,0,0,2,10,24,3,21,14,2,0,5,0,3,0,1,0,0,0,21,84
