SI.No.,States/UT/City,Number of Victims - UP To 10 Years - Male,Number of Victims - UP To 10 Years - Female,Number of Victims - UP To 10 Years - Total,Number of Victims - 11-15 Years - Male,Number of Victims - 11-15 Years - Female,Number of Victims - 11-15 Years - Total,Number of Victims - 16-18 Years - Male,Number of Victims - 16-18 Years - Female,Number of Victims - 16-18 Years - Total,Number of Victims - 19-30 Years - Male,Number of Victims - 19-30 Years - Female,Number of Victims - 19-30 Years - Total,Number of Victims - 31-50 Years - Male,Number of Victims - 31-50 Years - Female,Number of Victims - 31-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - Total of All Age Groups - Male,Number of Victims - Total of All Age Groups - Female,Number of Victims - Total of All Age Groups - Total
12,Madhya Pradesh,49,57,106,36,17,53,151,34,185,1064,337,1401,1097,250,1347,298,87,385,2695,782,3477
13,Maharashtra,99,87,186,27,21,48,63,69,132,795,600,1395,962,274,1236,249,59,308,2195,1110,3305
14,Manipur,1,0,1,1,0,1,6,3,9,109,2,111,88,4,92,9,2,11,214,11,225
15,Meghalaya,1,3,4,6,8,14,9,6,15,43,16,59,34,3,37,4,1,5,97,37,134
16,Mizoram,0,0,0,0,0,0,4,0,4,14,1,15,14,1,15,0,0,0,32,2,34
17,Nagaland,0,1,1,0,0,0,31,2,33,61,1,62,29,1,30,1,1,2,122,6,128
18,Orissa,0,0,0,0,0,0,15,4,19,434,94,528,379,40,419,42,11,53,870,149,1019
19,Punjab,13,8,21,18,13,31,64,20,84,206,65,271,243,62,305,44,7,51,588,175,763
20,Rajasthan,14,10,24,12,8,20,48,16,64,422,204,626,538,105,643,113,30,143,1147,373,1520
21,Sikkim,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
22,Tamil Nadu,36,28,64,9,9,18,37,37,74,424,204,628,624,148,772,159,40,199,1289,466,1755
23,Tripura,2,0,2,6,2,8,30,3,33,134,8,142,60,9,69,22,1,23,254,23,277
24,Uttar Pradesh,92,19,111,252,68,320,729,141,870,2643,420,3063,2517,301,2818,592,76,668,6825,1025,7850
25,West Bengal,12,9,21,11,4,15,111,59,170,788,160,948,689,96,785,63,8,71,1674,336,2010
Total States,Total States,556,429,985,515,226,741,1774,612,2386,12279,3433,15712,12231,2331,14562,2591,549,3140,29946,7580,37526
26,A & N Islands,0,0,0,0,0,0,0,0,0,3,2,5,3,1,4,1,0,1,7,3,10
27,Chandigarh,0,2,2,0,0,0,0,0,0,4,2,6,5,4,9,0,0,0,9,8,17
28,D & N Haveli,0,0,0,0,0,0,0,0,0,1,2,3,9,1,10,2,1,3,12,4,16
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,0,0,0,1,4,5
30,Delhi,18,21,39,5,4,9,19,6,25,257,103,360,145,53,198,28,18,46,472,205,677
31,Lakshadeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,1,1,0,0,0,0,0,0,5,3,8,8,3,11,0,1,1,13,8,21
Total (UTs),Total (UTs),18,24,42,5,4,9,19,6,25,270,116,386,171,62,233,31,20,51,514,232,746
Total (All-India),Total (All-India),574,453,1027,520,230,750,1793,618,2411,12549,3549,16098,12402,2393,14795,2622,569,3191,30460,7812,38272
33,Ahmedabad,3,6,9,1,0,1,2,5,7,39,11,50,25,8,33,5,1,6,75,31,106
34,Bangalore,7,3,10,5,1,6,0,1,1,55,52,107,45,15,60,14,5,19,126,77,203
35,Bhopal,0,0,0,0,0,0,1,1,2,17,8,25,10,3,13,3,1,4,31,13,44
36,Calcutta,2,2,4,0,0,0,0,0,0,31,8,39,18,6,24,4,2,6,55,18,73
37,Chennai,2,2,4,1,0,1,1,2,3,29,21,50,25,6,31,4,0,4,62,31,93
38,Coimbatore,0,1,1,0,0,0,1,0,1,6,3,9,5,4,9,2,0,2,14,8,22
39,Delhi,13,17,30,4,3,7,15,5,20,195,85,280,119,44,163,25,13,38,371,167,538
40,Hyderabad,0,0,0,0,0,0,0,0,0,11,4,15,85,16,101,2,1,3,98,21,119
41,Indore,0,0,0,0,0,0,4,1,5,40,10,50,22,6,28,7,5,12,73,22,95
42,Jaipur,0,0,0,0,1,1,0,0,0,21,3,24,15,5,20,2,0,2,38,9,47
43,Kanpur,2,1,3,1,1,2,8,5,13,73,23,96,79,4,83,11,0,11,174,34,208
44,Kochi,2,2,4,0,0,0,0,0,0,7,1,8,9,0,9,3,0,3,21,3,24
45,Lucknow,2,0,2,2,0,2,1,4,5,46,9,55,53,7,60,3,2,5,107,22,129
46,Ludhiana,1,1,2,1,0,1,0,0,0,15,4,19,13,2,15,2,0,2,32,7,39
47,Madurai,0,0,0,0,0,0,0,0,0,18,2,20,5,0,5,3,0,3,26,2,28
48,Mumbai,7,2,9,5,4,9,6,2,8,82,57,139,106,35,141,24,10,34,230,110,340
49,Nagpur,2,1,3,1,0,1,1,0,1,62,18,80,36,8,44,6,0,6,108,27,135
50,Patna,0,0,0,0,0,0,0,0,0,108,1,109,95,1,96,21,0,21,224,2,226
51,Pune,2,2,4,0,3,3,0,2,2,31,11,42,18,8,26,4,1,5,55,27,82
52,Surat,7,5,12,1,0,1,2,4,6,59,13,72,24,5,29,4,0,4,97,27,124
53,Vadodra,0,0,0,0,0,0,0,0,0,10,5,15,14,3,17,3,2,5,27,10,37
54,Varanasi,0,0,0,0,0,0,2,1,3,32,3,35,27,1,28,2,0,2,63,5,68
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,7,5,12,3,1,4,0,1,1,10,7,17
Total Cities,Total Cities,52,45,97,22,13,35,44,33,77,994,357,1351,851,188,1039,154,44,198,2117,680,2797
