SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Motor Vehicle Act - Incidence (I),Motor Vehicle Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other Offences - Incidence (I),Other Offences - Volume (V),Total of All Cognizable Crimes Under Local and Special Laws - Incidence (I),Total of All Cognizable Crimes Under Local and Special Laws - Volume (V)
11,State,Kerala,67,0.2,1,0,790,2.8,129,0.5,396,1.4,77,0.3,153,0.5,249,0.9,NA,0,3,0,254,0.9,3427,12,5546,19.5
12,State,Madhya Pradesh,3065,5.1,178,0.3,10901,18.2,14201,23.7,13,0,161,0.3,6,0,NA,0,9,0,NA,0,1340,2.2,42041,70.3,71915,120.2
13,State,Maharashtra,1117,1.6,1289,1.8,41900,58.7,NA,0,202804,284.3,194,0.3,1020,1.4,50626,71,32,0,NA,0,7067,9.9,270256,378.9,576305,807.9
14,State,Manipur,23,1.4,282,17,118,7.1,1985,119.5,NA,0,7,0.4,11,0.7,1847,111.2,NA,0,NA,0,NA,0,179,10.8,4452,267.9
15,State,Meghalaya,15,0.9,11,0.7,87,5.5,28,1.8,1,0.1,2,0.1,NA,0,NA,0,NA,0,NA,0,NA,0,215,13.5,359,22.6
16,State,Mizoram,31,4.9,11,1.7,12,1.9,NA,0,NA,0,5,0.8,NA,0,69,11,NA,0,NA,0,NA,0,354,56.2,482,76.6
17,State,Nagaland,18,1.8,34,3.4,4,0.4,22,2.2,NA,0,2,0.2,NA,0,156,15.7,NA,0,NA,0,NA,0,116,11.6,352,35.3
18,State,Orissa,142,0.5,30,0.1,897,3,243,0.8,NA,0,68,0.2,4,0,NA,0,1,0,NA,0,66,0.2,475,1.6,1926,6.5
19,State,Punjab,3718,19.7,1633,8.6,1351,7.1,17390,92,NA,0,69,0.4,2,0,NA,0,134,0.7,1,0,340,1.8,758,4,25396,134.3
20,State,Rajasthan,1852,4.6,705,1.7,1654,4.1,2107,5.2,NA,0,185,0.5,111,0.3,57635,142,NA,0,NA,0,699,1.7,25454,62.7,90402,222.7
21,State,Sikkim,12,3,NA,0,60,15.1,189,47.5,NA,0,4,1,NA,0,3600,904.1,NA,0,NA,0,NA,0,383,96.2,4248,1066.8
22,State,Tamil Nadu,121,0.2,963,1.8,40504,75.5,2,0,228021,425,227,0.4,8758,16.3,417287,777.8,NA,0,56,0.1,93,0.2,423992,790.3,1120024,2087.5
23,State,Tripura,37,1.5,NA,0,14,0.6,322,13.4,125,5.2,12,0.5,NA,0,1186,49.5,NA,0,NA,0,NA,0,1075,44.9,2771,115.7
24,State,Uttar Pradesh,37302,29.5,1218,1,6643,5.3,29148,23,81,0.1,950,0.8,608,0.5,132928,105.1,103,0.1,125,0.1,2567,2,35833,28.3,247506,195.7
25,State,West Bengal,464,2342.5,214,0.3,6200,10,2336,3.8,68,0.1,243,0.4,64,0.1,10219,16.5,1,0,26,0,3420,5.5,77518,125.5,100773,163.1
Total (States),State,Total (States),52291,6.8,8027,1,165473,21.5,88992,11.6,553046,71.9,3265,0.4,13428,1.7,1447017,188.2,321,0,227,0,18950,2.5,1210795,157.5,3561832,463.2
26,UT,A & N Islands,NA,0,NA,0,1,0.4,1278,504.5,92,36.3,1,0.4,NA,0,17,6.7,NA,0,NA,0,NA,0,266,105,1671,659.7
27,UT,Chandigarh,5,0.8,9,1.4,79,12.5,206,32.6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,99,15.7,398,63
28,UT,D & N Haveli,NA,0,NA,0,1,0.8,NA,0,NA,0,1,0.8,NA,0,NA,0,1,8,NA,0,NA,0,15,12.3,18,14.8
29,UT,Daman & Diu,NA,0,NA,0,6,6.5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,4.3,10,10.8
30,UT,Delhi,1281,15.9,1402,17.4,754,9.4,821,10.2,NA,0,34,0.4,23,0.3,NA,0,NA,0,NA,0,479,6,1960,24.4,6754,84
31,UT,Lakshadweep,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,2.3,1,2.3
32,UT,Pondicherry,NA,0,4,0.6,99,14.2,399,57.3,NA,0,3,0.4,2,0.3,7836,1124.6,NA,0,NA,0,NA,0,10299,1478,18642,2675.4
Total (UTs),UT,Total (UTs),1286,10.3,1415,11.4,956,7.7,2704,21.7,92,0.7,39,0.3,25,0.2,7853,63.2,1,0,NA,0,479,3.9,12644,101.7,27494,221.1
Total ( All India),Total ( All India),Total ( All India),53577,6.9,9442,1.2,166429,21.3,91696,11.7,553138,70.8,3304,0.4,13453,1.7,1454870,186.2,322,0,227,0,19429,2.5,1223439,156.6,3589326,459.3
1,City,Ahmedabad,26,1.1,54,2.3,2281,96.8,NA,0,11939,506.9,2,0.1,NA,0,14,0.6,NA,0,NA,0,NA,0,5842,248,20158,855.8
2,City,Bangalore,2,0.1,13,0.4,186,5.7,619,18.8,2,0.1,9,0.3,157,4.8,230524,7006.3,NA,0,NA,0,NA,0,533,16.2,232045,7052.6
3,City,Bombay,321,3.2,398,4,6715,67.3,NA,0,19829,198.7,119,1.2,966,9.7,49526,496.3,NA,0,NA,0,NA,0,236667,2371.8,314541,3152.2
4,City,Calcutta,37,1.1,187,5.6,5110,151.9,2229,66.3,NA,0,64,1.9,62,1.8,1758,52.3,NA,0,NA,0,5,0.1,70733,2103.3,80185,2384.3
5,City,Delhi,1210,16,1364,18,739,9.7,695,9.2,NA,0,34,0.4,23,0.3,NA,NA,NA,0,NA,0,479,6.3,1854,24.4,6398,84.4
6,City,Hyderabad,6,0.2,2,0.1,912,37.6,3576,147.4,NA,0,4,0.2,38,1.6,194264,8007.9,NA,0,NA,0,NA,0,72391,2984.1,271193,11179.1
7,City,Jaipur,172,13.2,23,1.8,111,8.5,36,2.8,NA,0,NA,0,5,0.4,NA,NA,NA,0,NA,0,NA,0,48,3.7,395,30.4
8,City,Kanpur,3161,183.6,8,0.5,355,20.6,1216,70.6,NA,0,22,1.3,53,3.1,3794,220.3,NA,0,NA,0,3,0.2,4258,253.1,12970,753.2
9,City,Lucknow,1866,187.5,151,15.2,219,22,225,22.6,NA,0,22,2.2,9,0.9,7346,738.2,NA,0,NA,0,NA,0,653,65.6,10491,1054.3
10,City,Madras,1,0,26,0.7,6625,169.3,NA,0,15671,400.4,4,0.1,2002,51.2,133375,3407.8,NA,0,10,0.3,NA,0,96984,2478,254698,6507.7
11,City,Nagpur,157,10.5,732,49,1806,120.8,NA,0,4995,334.2,NA,0,11,0.7,228,15.3,NA,0,NA,0,NA,0,4360,291.7,12289,822.2
12,City,Pune,7,0.5,159,10.8,429,29.1,NA,0,5888,399.6,NA,0,6,0.4,335,22.7,4,0,NA,0,NA,0,6814,462.5,13642,925.9
Total (City),City,Total (City),6966,0,3117,0,25488,0.1,8596,0,58324,0.1,280,0,3332,0,621164,1.6,4,0,10,0,487,0,501237,1.3,1229005,3.1
