SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen,River and Sea - Number of Cases Reported,River and Sea - Value of Property Stolen,Railways - Number of Cases Reported,Railways - Value of Property Stolen,Banks - Number of Cases Reported,Banks - Value of Property Stolen,Commercial Estbls. - Number of Cases Reported,Commercial Estbls. - Value of Property Stolen,Other Places - Number of Cases Reported,Other Places - Value of Property Stolen,Total - Number of Cases Reported,Total - Value of Property Stolen
28,UT,D & N Haveli,1,0.01,NA,NA,NA,NA,NA,NA,1,0.75,NA,NA,6,0.02,8,0.78
29,UT,Daman & Diu,2,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.16
30,UT,Delhi,76,4.05,28,1.35,NA,NA,NA,NA,1,0.25,36,2.51,56,6.56,197,14.72
31,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,UT,Pondicherry,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.31,10,0.51
Total (UTs),UT,Total (UTs),81,4.42,28,1.35,NA,NA,NA,NA,3,1.25,36,2.51,73,7.27,221,16.8
Total (All India),Total (All India),Total (All India),6697,334.77,3655,259.8,10,1.34,386,25.5,186,72.84,715,62.93,11268,639.64,22917,1396.82
1,City,Ahmedabad,7,0.66,2,0,1,0,NA,NA,4,3.55,3,0.64,58,2.58,75,7.43
2,City,Bangalore,83,7.18,3,0.06,NA,NA,NA,NA,NA,NA,12,0.81,148,6.11,246,14.16
3,City,Bombay,121,13.73,65,30.99,NA,NA,NA,NA,1,0.03,75,17.46,500,143.89,762,206.1
4,City,Calcutta,43,2.19,103,13.59,NA,NA,NA,NA,NA,NA,31,9.14,11,6.52,188,31.44
5,City,Delhi,71,3.23,22,1.15,NA,NA,NA,NA,1,0.25,28,2.11,50,5.62,172,12.36
6,City,Hyderabad,16,2.4,74,0.84,NA,NA,NA,NA,NA,NA,4,0.31,5,0.45,99,4
7,City,Jaipur,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,1,0.21,43,1.62,45,2.08
8,City,Kanpur,16,0.14,6,0,NA,NA,NA,NA,1,0.08,NA,NA,149,7.81,172,8.03
9,City,Lucknow,15,1.06,55,3.08,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,87,4.14
10,City,Madras,9,0.29,25,0.64,NA,NA,NA,NA,1,NA,4,1.09,2,0.07,41,2.09
11,City,Nagpur,4,0.07,NA,NA,NA,NA,NA,NA,NA,NA,17,0.16,234,3.85,255,4.08
12,City,Pune,24,2.65,5,0.12,NA,NA,NA,NA,1,0.03,2,0,105,5.06,137,7.86
Total (Cities),City,Total (Cities),410,33.85,360,50.47,1,0,NA,NA,9,3.94,177,31.93,1322,183.58,2279,303.77
