SL. No.,States/UTs,City Name,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
7,Bihar,Darbhanga,33,NA,8,13,31,19,249,260,315,19,17,NA,931
8,Bihar,Katihar,8,NA,3,12,6,8,36,24,27,NA,8,NA,621
9,Bihar,Bhagalpur,10,NA,NA,13,6,25,42,169,23,12,10,9,787
10,Bihar,Bokaro,21,NA,6,10,11,31,167,342,69,12,23,NA,692
11,Bihar,Dhandbad,2,NA,4,2,6,5,7,23,78,5,6,NA,138
12,Bihar,Jamshedpur,50,7,14,34,10,13,120,390,69,19,24,NA,1745
13,Bihar,Munger,8,1,1,12,6,7,35,102,51,9,6,1,500
14,Bihar,Ranchi Town,78,NA,NA,NA,20,112,138,608,97,NA,NA,NA,3737
1,Gujarat,Ahmedabad City,81,1,13,109,8,75,772,3404,263,122,188,26,11037
2,Gujarat,Surat City,50,NA,7,41,3,24,266,926,156,48,41,4,3246
3,Gujarat,Baroda ity,49,4,15,36,26,36,486,2207,256,64,132,13,6327
4,Gujarat,Rajkot City,19,NA,3,13,9,18,89,362,140,28,28,4,2085
5,Gujarat,Bhavnagar City,13,NA,2,8,NA,7,72,231,29,10,11,2,1156
6,Gujarat,Jamnagar City,5,NA,NA,5,NA,9,83,223,7,14,18,3,1109
7,Gujarat,Nadiad City,5,NA,NA,2,NA,2,21,85,17,6,4,1,329
1,Haryana,Hissar,9,NA,1,7,NA,1,89,127,3,11,23,NA,757
2,Haryana,Bhiwani,2,2,NA,6,NA,NA,29,62,10,5,11,NA,474
3,Haryana,Narnaul,1,NA,1,4,1,1,20,36,1,4,9,NA,267
4,Haryana,Sirsa,3,NA,1,4,1,NA,42,52,2,7,5,NA,584
5,Haryana,Gurgaon,4,1,2,8,NA,NA,75,112,13,13,20,NA,754
6,Haryana,Faridabad,7,3,2,9,NA,4,43,269,17,15,7,NA,985
7,Haryana,Rohtak,5,NA,2,3,NA,2,24,29,7,10,8,NA,263
8,Haryana,Sonepat,5,NA,4,3,NA,4,79,101,4,5,18,NA,679
9,Haryana,Ambala City,5,2,1,8,NA,2,95,146,1,8,21,NA,680
10,Haryana,Karnal,4,NA,1,5,NA,NA,29,53,1,12,6,NA,429
1,Karnataka,Bangalore City,80,2,35,78,5,210,1213,5992,146,179,730,171,18199
2,Karnataka,K.G.F.,3,NA,NA,2,1,4,42,33,18,1,8,NA,205
3,Karnataka,Tumkur,5,NA,2,2,1,4,124,184,11,5,5,NA,720
4,Karnataka,Davanagere,3,NA,2,4,NA,3,63,147,41,13,13,13,950
5,Karnataka,Shimoga,9,NA,3,NA,NA,3,145,104,21,7,10,7,309
6,Karnataka,Bhadravathy,10,NA,4,3,NA,5,58,54,32,1,6,1,174
7,Karnataka,Mysore,10,NA,1,11,2,13,209,458,35,15,34,1,789
8,Karnataka,Mandya,2,NA,1,NA,1,2,7,60,6,4,2,NA,615
9,Karnataka,Mangalore,3,1,NA,4,NA,2,49,77,33,17,23,15,392
10,Karnataka,Belgaum,6,NA,1,4,1,1,114,200,48,13,45,11,834
11,Karnataka,Bijapur,4,NA,NA,6,1,6,48,37,54,2,20,1,309
12,Karnataka,Dharwar,19,1,1,3,6,9,79,129,57,11,17,2,702
13,Karnataka,Hubli,8,NA,1,8,2,11,107,245,56,12,38,13,951
14,Karnataka,Gadag betagery,7,NA,NA,3,2,NA,27,54,27,3,6,2,263
15,Karnataka,Raichur,6,1,NA,2,NA,3,47,57,21,5,8,NA,151
16,Karnataka,Gulbarga,7,NA,2,4,3,5,42,98,29,NA,20,NA,850
17,Karnataka,Bellary,5,1,1,5,NA,4,39,113,52,1,7,2,567
18,Karnataka,Hospet,2,NA,NA,4,1,NA,26,54,8,8,7,NA,224
1,Kerala,Trivendrum City,15,NA,8,7,12,26,326,381,316,27,109,NA,3438
2,Kerala,Alleppey Town,20,2,5,13,2,22,296,203,468,27,104,6,4896
3,Kerala,Ernakulam City,17,3,6,5,3,9,243,282,98,16,83,2,2300
4,Kerala,Calicut City,8,4,4,7,1,NA,133,146,211,17,59,17,2204
1,Madhya Pradesh,Gwalior,41,1,7,19,2,75,593,667,53,23,55,NA,3869
2,Madhya Pradesh,Indore,81,NA,54,71,5,98,1124,2428,205,5,96,NA,4310
3,Madhya Pradesh,Ujjain,17,NA,26,21,4,47,295,687,98,41,32,NA,2115
4,Madhya Pradesh,Khandava,2,NA,2,1,NA,3,14,55,3,5,2,2,321
5,Madhya Pradesh,Jabalpur,47,2,22,38,NA,77,613,1139,17,60,22,1,6068
6,Madhya Pradesh,Sagar,78,2,65,18,13,47,418,518,68,8,38,NA,3176
7,Madhya Pradesh,Raipur,14,NA,21,23,NA,34,316,763,47,12,23,1,2119
8,Madhya Pradesh,Bhilai,21,1,27,17,5,16,318,640,29,16,60,NA,5463
9,Madhya Pradesh,Ratlam,24,NA,28,19,2,23,395,672,110,17,24,NA,2665
10,Madhya Pradesh,Bhopal,17,NA,35,29,8,150,514,1164,54,18,89,NA,2315
1,Maharashtra,Bombay City,285,2,85,231,65,762,2361,15359,196,933,1166,63,36018
2,Maharashtra,Thane City,49,NA,7,22,15,61,311,728,81,54,NA,3,2789
3,Maharashtra,Pune City,70,NA,34,45,6,437,736,2531,168,105,193,12,9163
4,Maharashtra,Nagpur City,102,NA,45,75,15,255,724,2121,115,92,119,20,8765
5,Maharashtra,Ulhasnagar,32,NA,14,14,7,56,269,465,35,30,17,7,1725
6,Maharashtra,Ahmednagar,3,NA,NA,2,1,7,54,150,18,3,6,NA,402
7,Maharashtra,Nasik,7,NA,NA,2,NA,11,105,329,8,11,22,321,816
8,Maharashtra,Malegaon,4,NA,3,NA,1,NA,106,241,29,10,9,336,740
9,Maharashtra,Dhule,6,NA,1,1,1,6,37,117,6,15,8,1,325
10,Maharashtra,Jalgaon,7,4,1,2,4,19,71,141,20,12,23,1,765
11,Maharashtra,Sangli,7,NA,1,5,NA,7,70,223,14,12,10,NA,540
12,Maharashtra,Solapur,11,4,NA,21,NA,17,110,420,20,28,32,5,1615
13,Maharashtra,Kolhapur,14,NA,5,10,1,16,308,129,33,25,24,3,795
14,Maharashtra,Aurangabad,7,NA,3,10,1,34,190,577,38,13,33,NA,1369
15,Maharashtra,Nanded,17,NA,3,9,3,23,111,229,17,11,17,NA,768
16,Maharashtra,Akola,12,NA,12,9,1,52,255,997,12,28,26,13,2266
17,Maharashtra,Yeotmal,4,NA,8,10,2,23,179,567,13,14,23,NA,1346
1,Orissa,Cuttack (S),17,NA,8,26,9,42,358,875,48,37,43,NA,1677
2,Orissa,Bhubaneshwar,3,NA,6,27,1,27,457,919,18,44,22,2,2781
3,Orissa,Berhampur,8,1,2,2,4,22,107,107,40,12,7,1,539
4,Orissa,Rourkela,8,NA,10,4,8,21,136,306,104,18,16,NA,831
1,Punjab,Jalandhar,23,1,1,10,NA,30,88,122,NA,23,27,2,828
2,Punjab,Amritsar,49,2,1,7,NA,49,59,89,NA,7,26,2,1192
3,Punjab,Bhatinda,9,1,3,2,NA,3,58,38,3,2,9,NA,195
4,Punjab,Patiala,35,13,2,11,NA,7,90,154,NA,12,22,2,348
5,Punjab,Ludhiana,34,2,4,22,7,34,105,141,NA,18,23,1,1021
6,Punjab,Sangrur,10,NA,5,3,NA,1,23,37,1,11,6,NA,287
1,Rajasthan,Ajmer,23,2,2,30,NA,16,171,266,65,45,81,1,1346
2,Rajasthan,Jaipur City,36,1,11,106,2,45,378,1271,762,134,258,15,5567
3,Rajasthan,Bikaner,9,NA,1,9,1,6,81,129,71,11,35,NA,764
4,Rajasthan,Jodhpur,7,1,6,25,NA,24,149,230,144,26,96,4,1427
5,Rajasthan,Kota City,29,1,13,41,3,26,231,373,119,28,79,1,2028
6,Rajasthan,Udaipur,9,1,12,32,1,26,173,270,130,23,66,NA,1410
1,Tamil Nadu,Madras City,61,3,23,40,2,41,302,3838,200,209,664,167,13827
2,Tamil Nadu,Madurai City,16,NA,8,12,NA,29,153,746,71,35,135,22,2037
3,Tamil Nadu,Coimbatore,17,NA,2,7,1,23,404,838,155,76,55,15,2851
4,Tamil Nadu,Vellore Town,1,NA,3,4,NA,7,101,352,136,9,23,4,1061
5,Tamil Nadu,Cuddalore Town,3,NA,NA,2,NA,NA,29,93,6,4,6,1,297
6,Tamil Nadu,Thanjavur Town,4,NA,1,3,NA,1,59,221,31,8,19,2,766
7,Tamil Nadu,Tiruchirapalli Town,17,NA,4,9,NA,8,233,732,35,34,42,22,2009
8,Tamil Nadu,Dindigul,13,1,4,2,NA,4,69,246,54,4,10,4,864
9,Tamil Nadu,Tuticorin Town,13,NA,5,6,NA,6,52,155,15,9,5,NA,680
10,Tamil Nadu,Nagercoil,3,NA,2,2,NA,1,45,111,53,20,9,1,454
11,Tamil Nadu,Salem Town,22,NA,1,9,NA,5,212,291,57,10,26,11,1337
12,Tamil Nadu,Kancheepuram,3,NA,NA,6,NA,1,66,141,23,9,14,2,265
13,Tamil Nadu,Kumbakonam Town,8,NA,2,6,NA,NA,64,110,15,10,16,NA,608
14,Tamil Nadu,Tiruppur,10,NA,1,5,NA,2,88,192,79,8,11,3,822
15,Tamil Nadu,Erode,6,NA,2,6,NA,6,95,254,56,18,9,NA,452
16,Tamil Nadu,Singanallur,2,NA,NA,3,NA,1,22,31,2,9,3,1,128
1,Uttar Pradesh,Meerut,336,28,31,117,240,199,543,1265,266,87,63,NA,3710
2,Uttar Pradesh,Muzaffarnagar,31,7,7,22,3,33,94,233,44,31,19,NA,777
3,Uttar Pradesh,Saharanpur,25,7,5,21,1,20,101,241,32,23,41,NA,778
4,Uttar Pradesh,Ghaziabad,31,17,9,22,13,27,103,212,31,17,9,1,719
5,Uttar Pradesh,Dehradun,11,5,6,22,3,9,92,185,27,14,7,NA,468
6,Uttar Pradesh,Kanpur Nagar,32,5,2,6,23,37,68,150,43,9,7,NA,501
7,Uttar Pradesh,Allahabad,101,25,14,58,28,82,462,1098,102,84,99,NA,2874
8,Uttar Pradesh,Agra,40,9,20,55,12,52,264,589,112,70,67,NA,1697
9,Uttar Pradesh,Mathura,24,8,6,13,9,22,98,127,44,19,21,NA,573
10,Uttar Pradesh,Aligarh,28,3,5,32,3,13,60,160,35,28,24,NA,587
11,Uttar Pradesh,Jhansi,13,18,10,10,13,20,138,247,50,24,13,NA,659
12,Uttar Pradesh,Lucknow,74,15,19,75,18,79,464,1609,169,203,225,14,3585
13,Uttar Pradesh,Sitapur,53,11,13,39,15,57,232,835,70,41,19,NA,1557
14,Uttar Pradesh,Kheri,38,13,7,21,11,38,106,211,47,13,11,NA,624
15,Uttar Pradesh,Raibareli,22,9,6,13,19,23,109,198,51,19,8,NA,574
16,Uttar Pradesh,Bareilly,58,10,14,53,15,54,315,806,56,41,48,NA,1853
17,Uttar Pradesh,Shahjahanpur,49,18,13,22,9,43,76,205,39,24,31,NA,697
18,Uttar Pradesh,Moradabad,76,15,14,80,10,49,169,459,66,37,22,NA,1278
19,Uttar Pradesh,Rampur,19,15,NA,19,NA,19,54,95,3,15,10,NA,356
20,Uttar Pradesh,Bahraich,17,11,9,22,13,39,116,198,41,16,9,NA,680
21,Uttar Pradesh,Gorakhpur,22,18,7,11,19,33,102,247,87,23,34,NA,1008
22,Uttar Pradesh,Azamgarh,18,7,3,6,5,38,105,197,89,19,21,NA,641
23,Uttar Pradesh,Varanasi,23,19,6,13,9,19,263,219,23,46,51,NA,882
24,Uttar Pradesh,Mirzapur,10,11,5,9,5,6,73,107,12,23,19,NA,397
