SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Kidnapping & Abduction - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
11,State,Kerala,911,51,962,37,1,38,235,4,239,138,2,140,235,2,237,255,2,257,1847,31,1878,2241,83,2324,25436,974,26410,325,17,342,944,54,998,169,1,170,82545,3674,86219
12,State,Madhya Pradesh,6495,505,7000,109,2,111,2503,NA,2503,1471,41,1512,1487,6,1493,2837,22,2859,11329,216,11545,20171,355,20526,29145,990,30135,924,13,937,1601,12,1613,7,NA,7,216163,1946,218109
13,State,Maharashtra,2478,668,3146,97,46,143,723,11,734,1224,70,1294,3183,50,3233,4097,182,4279,13222,236,13458,30744,2123,32867,47291,2430,49721,2764,45,2809,2339,52,2391,67,5,72,255317,15229,270546
14,State,Manipur,95,12,107,7,NA,7,7,4,11,140,24,164,97,NA,97,81,1,82,109,NA,109,359,8,367,509,97,606,32,2,34,91,4,95,40,NA,40,3370,416,3786
15,State,Meghalaya,138,5,143,3,NA,3,23,NA,23,33,NA,33,41,NA,41,50,NA,50,116,NA,116,447,NA,447,329,NA,329,18,NA,18,39,NA,39,NA,NA,NA,2471,22,2493
16,State,Mizoram,88,NA,88,4,NA,4,72,NA,72,15,NA,15,15,NA,15,37,NA,37,82,3,85,308,14,322,NA,NA,NA,39,10,49,47,5,52,8,1,9,1274,51,1325
17,State,Nagaland,35,NA,35,3,NA,3,9,NA,9,20,NA,20,44,NA,44,81,NA,81,161,NA,161,240,1,241,110,NA,110,27,NA,27,33,NA,33,3,NA,3,1304,1,1305
18,State,Orissa,1351,22,1373,79,1,80,276,NA,276,264,10,274,763,1,764,776,1,777,4768,11,4779,10103,108,10211,15225,94,15319,406,2,408,321,9,330,13,NA,13,77373,1038,78411
19,State,Punjab,1858,51,1909,271,12,283,80,1,81,190,15,205,250,NA,250,526,1,527,1063,4,1067,1559,44,1603,476,NA,476,274,1,275,314,2,316,4,NA,4,20345,270,20615
20,State,Rajasthan,2290,89,2379,47,1,48,729,2,731,1552,61,1613,397,NA,397,1172,8,1180,3863,35,3898,6267,161,6428,43612,1655,45267,473,5,478,1186,28,1214,NA,NA,NA,113756,3707,117463
21,State,Sikkim,5,1,6,1,NA,1,8,NA,8,3,NA,3,NA,NA,NA,4,1,5,24,1,25,42,NA,42,48,NA,48,15,NA,15,28,NA,28,NA,NA,NA,384,14,398
22,State,Tamil Nadu,3224,209,3433,52,7,59,339,5,344,783,73,856,211,NA,211,550,1,551,5022,49,5071,14015,503,14518,68479,5395,73874,521,8,529,980,32,1012,83,1,84,194986,9499,204485
23,State,Tripura,269,3,272,3,NA,3,61,NA,61,86,1,87,266,NA,266,152,NA,152,492,NA,492,510,15,525,1703,54,1757,55,NA,55,38,1,39,NA,NA,NA,5427,112,5539
24,State,Uttar Pradesh,18515,220,18735,4976,27,5003,1967,3,1970,5527,99,5626,12794,17,12811,8472,30,8502,16610,24,16634,23470,129,23599,55128,221,55349,2909,1,2910,3498,16,3514,131,NA,131,266724,1013,267737
25,State,West Bengal,2914,85,2999,872,25,897,810,4,814,1007,50,1057,2747,7,2754,1303,2,1305,2088,8,2096,21720,176,21896,30902,201,31103,1035,NA,1035,661,8,669,49,NA,49,94790,842,95632
Total (States),State,Total (States),61886,2510,64396,7805,171,7976,11174,53,11227,19731,707,20438,34798,147,34945,28255,292,28547,88996,961,89957,194168,5195,199363,536996,16781,553777,15134,141,15275,19170,339,19509,808,9,817,2095259,55368,2150627
26,UT,A & N Islands,7,1,8,1,NA,1,7,NA,7,12,3,15,NA,NA,NA,2,NA,2,24,NA,24,47,1,48,59,6,65,5,NA,5,3,NA,3,NA,NA,NA,598,40,638
27,UT,Chandigarh,37,2,39,8,NA,8,8,NA,8,7,NA,7,NA,NA,NA,1,NA,1,120,4,124,359,4,363,340,1,341,12,1,13,141,2,143,NA,NA,NA,2374,541,2915
28,UT,D & N Haveli,6,NA,6,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,25,NA,25,132,14,146,57,1,58,165,6,171,6,NA,6,NA,NA,NA,NA,NA,NA,816,62,878
29,UT,Daman & Diu,50,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,7,NA,7,66,12,78,3,NA,3,NA,NA,NA,NA,NA,NA,208,13,221
30,UT,Delhi,445,23,468,445,16,461,176,NA,176,296,26,322,120,NA,120,326,NA,326,1178,3,1181,3181,340,3521,1473,20,1493,354,31,385,884,16,900,6,NA,6,24517,1403,25920
31,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,27,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,32
32,UT,Pondicherry,41,NA,41,NA,NA,NA,10,NA,10,17,NA,17,NA,NA,NA,16,NA,16,122,NA,122,366,18,384,1271,104,1375,18,NA,18,19,5,24,2,NA,2,3953,161,4114
Total (UTs),UT,Total (UTs),586,26,612,454,16,470,203,NA,203,332,29,361,125,NA,125,370,NA,370,1579,21,1600,4017,364,4381,3401,149,3550,398,32,430,1047,23,1070,8,NA,8,32498,2220,34718
Total (All India),Total (All India),Total (All India),62472,2536,65008,8259,187,8446,11377,53,11430,20063,736,20799,34923,147,35070,28625,292,28917,90575,982,91557,198185,5559,203744,540397,16930,557327,15532,173,15705,20217,362,20579,816,9,825,2127757,57588,2185345
1,City,Ahmedabad,194,15,209,1,NA,1,25,2,27,134,14,148,39,NA,39,110,5,115,546,7,553,1307,73,1380,1496,34,1530,127,NA,127,177,8,185,6945,404,7349,11101,562,11663
2,City,Bangalore,165,17,182,3,NA,3,65,NA,65,65,5,70,29,NA,29,193,1,194,522,6,528,1594,54,1648,1133,132,1265,137,NA,137,338,16,354,NA,NA,NA,13745,231,13976
3,City,Bombay,578,21,599,2,NA,2,90,1,91,218,17,235,255,4,259,741,1,742,1295,15,1310,5962,192,6154,1298,38,1336,697,18,697,650,15,665,30,NA,30,28333,928,29261
4,City,Calcutta,154,NA,154,16,NA,16,21,NA,21,116,2,118,96,NA,96,298,NA,298,813,NA,813,7230,31,7261,1893,NA,1893,153,NA,153,202,NA,202,22,NA,22,18578,65,18643
5,City,Delhi,432,18,450,390,11,401,160,NA,160,275,20,295,98,NA,98,302,NA,302,1079,3,1082,2936,285,3221,1265,15,1280,326,24,350,843,11,854,6,NA,6,22743,1196,23939
6,City,Hyderabad,132,7,139,NA,NA,NA,35,NA,35,60,NA,60,43,NA,43,110,NA,110,518,4,522,1244,38,1282,973,21,994,49,5,54,168,7,175,10,NA,10,5395,144,5539
7,City,Jaipur,41,1,42,1,NA,1,14,1,15,72,7,79,25,NA,25,42,1,43,155,8,163,364,17,381,1692,196,1888,33,NA,33,96,2,98,NA,NA,NA,5478,308,5786
8,City,Kanpur,260,NA,260,273,NA,273,30,NA,30,788,NA,788,230,NA,230,132,NA,132,327,NA,327,437,NA,437,8,NA,8,98,NA,98,130,NA,130,NA,NA,NA,3268,NA,3268
9,City,Lucknow,185,8,193,50,NA,50,17,2,19,103,1,104,85,NA,85,69,NA,69,262,NA,262,490,11,501,854,NA,854,86,NA,86,100,4,104,3,NA,3,2616,26,2642
10,City,Madras,137,5,142,3,2,5,23,NA,23,50,NA,50,13,NA,13,60,NA,60,178,NA,178,1616,103,1719,53,2,55,1623,NA,1623,1623,26,1649,233,9,242,13125,369,13494
11,City,Nagpur,338,4,342,NA,NA,NA,78,NA,78,68,3,71,86,NA,86,341,NA,341,475,7,482,1124,34,1158,2229,132,2361,86,NA,86,184,3,187,NA,NA,NA,11410,272,11682
12,City,Pune,105,16,121,NA,NA,NA,54,2,56,63,10,73,30,NA,30,153,2,155,581,21,602,1672,136,1808,1271,52,1323,147,5,152,183,6,189,NA,NA,NA,10420,2336,12756
Total (Cities),City,Total (Cities),2721,112,2833,739,13,752,612,8,620,2012,79,2091,1029,4,1033,2551,10,2561,6751,71,6822,25976,974,26950,14165,622,14787,3544,52,3596,4694,98,4792,7249,413,7662,146212,6437,152649
